Team,Total Payroll
PHI,"313,201,706"
TOR,"309,484,438"
NYY,"337,140,544"
NYM,"381,002,101"
ATL,"246,555,515"
LAD,"415,212,461"
SF,"229,003,270"
TEX,"202,378,541"
CHC,"248,474,822"
HOU,"235,133,199"
SEA,"197,631,230"
ARI,"232,680,420"
DET,"239,806,674"
BAL,"217,666,181"
BOS,"266,101,898"
KC,"183,197,498"
SD,"255,992,138"
PIT,"134,501,207"
MIL,"139,000,376"
LAA,"194,530,851"
CIN,"148,667,572"
TB,"108,325,756"
COL,"131,609,949"
CLE,"87,827,999"
ATH,"136,029,542"
MIN,"123,266,143"
MIA,"81,941,404"
CHW,"108,379,653"
STL,"111,559,321"
WSH,"114,624,471"
