Team,Total Payroll
PHI,"280,839,235"
TOR,"282,552,776"
NYY,"292,892,832"
NYM,"334,085,472"
ATL,"267,889,815"
LAD,"302,198,379"
SF,"199,330,287"
TEX,"185,354,797"
CHC,"219,194,794"
HOU,"240,260,476"
SEA,"163,838,970"
ARI,"190,288,818"
DET,"208,530,580"
BAL,"167,585,738"
BOS,"196,138,245"
KC,"147,122,692"
SD,"213,371,674"
PIT,"103,967,933"
MIL,"129,382,716"
LAA,"174,722,536"
CIN,"133,626,914"
TB,"103,281,480"
COL,"118,106,572"
CLE,"80,471,618"
ATH,"94,163,715"
MIN,"105,992,179"
MIA,"80,374,373"
CHW,"90,997,868"
STL,"93,898,025"
WSH,"92,605,844"
